No Partido,Fecha y Hora,Match,Local,Visitante,Resultado,Marcador No Definitivo,Estadio,Goles Local,Goles Visitante
29,30 June 1974,Group A,East Germany,Netherlands,0-2,,"Parkstadion, Gelsenkirchen",,
30,30 June 1974,Group A,Argentina,Brazil,1-2,,"Niedersachsenstadion, Hanover",,
33,3 July 1974,Group A,Argentina,East Germany,1-1,,"Parkstadion, Gelsenkirchen",,
34,3 July 1974,Group A,Netherlands,Brazil,2-0,,"Westfalenstadion, Dortmund",,
27,26 June 1974,Group B,Yugoslavia,West Germany,0-2,,"Rheinstadion, Düsseldorf",,
28,26 June 1974,Group B,Sweden,Poland,0-1,,"Neckarstadion, Stuttgart",,
31,30 June 1974,Group B,West Germany,Sweden,4-2,,"Rheinstadion, Düsseldorf",,
32,30 June 1974,Group B,Poland,Yugoslavia,2-1,,"Waldstadion, Frankfurt",,
35,3 July 1974,Group B,Poland,West Germany,0-1,,"Waldstadion, Frankfurt",,
36,3 July 1974,Group B,Sweden,Yugoslavia,2-1,,"Rheinstadion, Düsseldorf",,
37,6 July 1974,Group B,Brazil,Poland,0-1,,"Olympiastadion, Munich",,
38,7 July 1974,Final,Netherlands,West Germany,1-2,,"Olympiastadion, Munich",,
2,2 June 1978,Group 1,Argentina,Hungary,2-1,,"Estadio Monumental, Buenos Aires",,
3,2 June 1978,Group 1,Italy,France,2-1,,"Estadio José María Minella, Mar del Plata",,
9,6 June 1978,Group 1,Argentina,France,2-1,,"Estadio Monumental, Buenos Aires",,
10,6 June 1978,Group 1,Italy,Hungary,3-1,,"Estadio José María Minella, Mar del Plata",,
17,10 June 1978,Group 1,Argentina,Italy,0-1,,"Estadio Monumental, Buenos Aires",,
